Dataset,Split,Model,n,Component,Target,rho,p
naidv1,train,Deepseek,1969,Accessibility & Understandability,OA,0.03966535567883551,0.07846511702822287
naidv1,train,Deepseek,1969,Accessibility & Understandability,is_practical,0.21599469256254786,3.2299032793644466e-22
naidv1,train,Deepseek,1969,Accessibility & Understandability,new_task,0.09246328242418424,3.971847394974124e-05
naidv1,train,Deepseek,1969,Accessibility & Understandability,new_dataset,0.22094789103849063,3.3789613510657797e-23
naidv1,train,Deepseek,1969,Accessibility & Understandability,SOTA,0.0031716348705346947,0.8881486156321197
naidv1,train,Deepseek,1969,Accessibility & Understandability,is_broad,0.06300397411939133,0.005162666420146872
naidv1,train,Deepseek,1969,Novelty & Engagement,cites,0.22518810347753573,4.681327861730477e-24
naidv1,train,Deepseek,1969,Novelty & Engagement,TNCSI,0.13439542517115932,2.137778364949012e-09
naidv1,train,Deepseek,1969,Novelty & Engagement,TNCSI_SP,0.1566695591308957,2.7340215567395944e-12
naidv1,train,Deepseek,1969,Novelty & Engagement,Ref_num,0.23223437340718392,1.6015510427616705e-25
naidv1,train,Deepseek,1969,Novelty & Engagement,RQM,0.10479574999498038,3.161656920213602e-06
naidv1,train,Deepseek,1969,Novelty & Engagement,SMP,-0.08578495389510155,0.00013830433079953057
naidv1,train,Deepseek,1969,Novelty & Engagement,ARQ,0.07934615888649377,0.0004247930202077741
naidv1,train,Deepseek,1969,Novelty & Engagement,OA,0.007720891037917108,0.7320575278113748
naidv1,train,Deepseek,1969,Novelty & Engagement,is_practical,-0.18453710640618867,1.5275817232234172e-16
naidv1,train,Deepseek,1969,Novelty & Engagement,new_task,0.012646036070518375,0.5749244146850699
naidv1,train,Deepseek,1969,Novelty & Engagement,new_dataset,-0.1123136348062145,5.841335713954651e-07
naidv1,train,Deepseek,1969,Novelty & Engagement,SOTA,0.15143868729724674,1.4325430633156497e-11
naidv1,train,Deepseek,1969,Novelty & Engagement,is_broad,-0.022565787916543043,0.316917392856252
naidv1,train,Llama-3.1,1999,Quality & Reliability,cites,-0.07785017293663582,0.0004943375940810797
naidv1,train,Llama-3.1,1999,Quality & Reliability,TNCSI,-0.05485473512019487,0.014171847233554944
naidv1,train,Llama-3.1,1999,Quality & Reliability,TNCSI_SP,-0.03952765222418972,0.07724942707446973
naidv1,train,Llama-3.1,1999,Quality & Reliability,Ref_num,-0.11247058765434653,4.620475047863482e-07
naidv1,train,Llama-3.1,1999,Quality & Reliability,RQM,-0.03768883207769987,0.09206212567297452
